gain	3	33	-71.54
gain	33	3	-74.92
gain	3	34	-87.29
gain	34	3	-87.59
gain	3	35	-70.91
gain	35	3	-67.23
gain	3	36	-67.10
gain	36	3	-66.54
gain	3	37	-90.83
gain	37	3	-92.94
gain	3	38	-79.62
gain	38	3	-78.64
gain	3	39	-80.32
gain	39	3	-81.89
gain	3	40	-67.16
gain	40	3	-71.62
gain	3	41	-82.74
gain	41	3	-81.34
gain	3	42	-74.61
gain	42	3	-72.49
gain	3	43	-67.97
gain	43	3	-63.91
gain	3	44	-65.90
gain	44	3	-63.86
gain	3	45	-84.22
gain	45	3	-76.13
gain	3	46	-85.12
gain	46	3	-83.49
gain	3	47	-84.34
gain	47	3	-76.90
gain	3	48	-85.25
gain	48	3	-85.34
gain	4	5	-82.68
gain	5	4	-82.85
gain	4	6	-77.39
gain	6	4	-72.52
gain	4	7	-87.74
gain	7	4	-82.20
gain	4	8	-87.60
gain	8	4	-86.18
gain	4	9	-79.70
gain	9	4	-79.37
gain	4	10	-84.99
gain	10	4	-78.93
gain	4	11	-88.25
gain	11	4	-87.64
gain	4	12	-72.38
gain	12	4	-70.05
gain	4	13	-73.16
gain	13	4	-69.00
gain	4	14	-83.94
gain	14	4	-76.01
gain	4	15	-82.57
gain	15	4	-80.28
gain	4	16	-73.76
gain	16	4	-68.19
gain	4	17	-91.36
gain	17	4	-85.91
gain	4	18	-79.25
gain	18	4	-75.07
gain	4	19	-60.60
gain	19	4	-62.37
gain	4	20	-85.80
gain	20	4	-84.03
gain	4	21	-81.18
gain	21	4	-75.76
gain	4	22	-80.70
gain	22	4	-83.75
gain	4	23	-78.47
gain	23	4	-79.29
gain	4	24	-83.27
gain	24	4	-78.20
gain	4	25	-81.59
gain	25	4	-75.81
gain	4	26	-76.73
gain	26	4	-73.36
gain	4	27	-78.68
gain	27	4	-74.64
gain	4	28	-81.12
gain	28	4	-74.35
gain	4	29	-72.33
gain	29	4	-71.22
gain	4	30	-68.21
gain	30	4	-64.28
gain	4	31	-78.58
gain	31	4	-67.75
gain	4	32	-73.58
gain	32	4	-68.85
gain	4	33	-71.06
gain	33	4	-73.31
gain	4	34	-81.74
gain	34	4	-80.92
gain	4	35	-78.44
gain	35	4	-73.64
gain	4	36	-61.35
gain	36	4	-59.68
gain	4	37	-85.86
gain	37	4	-86.86
gain	4	38	-76.27
gain	38	4	-74.16
gain	4	39	-69.51
gain	39	4	-69.95
gain	4	40	-76.57
gain	40	4	-79.91
gain	4	41	-86.03
gain	41	4	-83.50
gain	4	42	-77.57
gain	42	4	-74.32
gain	4	43	-77.69
gain	43	4	-72.50
gain	4	44	-63.32
gain	44	4	-60.16
gain	4	45	-87.32
gain	45	4	-78.11
gain	4	46	-92.26
gain	46	4	-89.51
gain	4	47	-85.69
gain	47	4	-77.12
gain	4	48	-79.76
gain	48	4	-78.73
gain	5	6	-88.34
gain	6	5	-83.30
gain	5	7	-58.81
gain	7	5	-53.10
gain	5	8	-85.10
gain	8	5	-83.50
gain	5	9	-91.86
gain	9	5	-91.36
gain	5	10	-87.27
gain	10	5	-81.05
gain	5	11	-66.57
gain	11	5	-65.79
gain	5	12	-90.54
gain	12	5	-88.04
gain	5	13	-86.89
gain	13	5	-82.57
gain	5	14	-91.42
gain	14	5	-83.31
gain	5	15	-95.50
gain	15	5	-93.05
gain	5	16	-86.26
gain	16	5	-80.52
gain	5	17	-87.28
gain	17	5	-81.66
gain	5	18	-73.74
gain	18	5	-69.38
gain	5	19	-83.83
gain	19	5	-85.43
gain	5	20	-77.06
gain	20	5	-75.12
gain	5	21	-89.51
gain	21	5	-83.91
gain	5	22	-69.79
gain	22	5	-72.67
gain	5	23	-75.00
gain	23	5	-75.65
gain	5	24	-64.13
gain	24	5	-58.88
gain	5	25	-86.06
gain	25	5	-80.12
gain	5	26	-80.48
gain	26	5	-76.94
gain	5	27	-87.38
gain	27	5	-83.17
gain	5	28	-83.59
gain	28	5	-76.65
gain	5	29	-91.60
gain	29	5	-90.31
gain	5	30	-91.17
gain	30	5	-87.07
gain	5	31	-84.29
gain	31	5	-73.28
gain	5	32	-77.57
gain	32	5	-72.66
gain	5	33	-89.20
gain	33	5	-91.29
gain	5	34	-83.91
gain	34	5	-82.92
gain	5	35	-86.09
gain	35	5	-81.12
gain	5	36	-82.75
gain	36	5	-80.90
gain	5	37	-96.17
gain	37	5	-96.98
gain	5	38	-90.46
gain	38	5	-88.18
gain	5	39	-91.74
gain	39	5	-92.01
gain	5	40	-79.84
gain	40	5	-83.00
gain	5	41	-72.00
gain	41	5	-69.30
gain	5	42	-80.44
gain	42	5	-77.02
gain	5	43	-80.77
gain	43	5	-75.42
gain	5	44	-84.90
gain	44	5	-81.56
gain	5	45	-87.23
gain	45	5	-77.85
gain	5	46	-66.09
gain	46	5	-63.17
gain	5	47	-86.24
gain	47	5	-77.50
gain	5	48	-93.67
gain	48	5	-92.46
gain	6	7	-92.41
gain	7	6	-91.74
gain	6	8	-84.91
gain	8	6	-88.36
gain	6	9	-72.03
gain	9	6	-76.56
gain	6	10	-87.27
gain	10	6	-86.09
gain	6	11	-89.67
gain	11	6	-93.92
gain	6	12	-68.40
gain	12	6	-70.93
gain	6	13	-63.64
gain	13	6	-64.36
gain	6	14	-80.91
gain	14	6	-77.84
gain	6	15	-53.29
gain	15	6	-55.87
